Data;IPA-EP-DI - geral - índice (ago. 1994 = 100) - - - Fundação Getulio Vargas, Conjuntura Econômica - IGP (FGV/Conj. Econ. - IGP) - IGP12_IPADI12;
2006.11;370,369;
2006.12;370,763;
2007.01;371,955;
2007.02;372,679;
2007.03;373,08;
2007.04;373,148;
2007.05;373,017;
2007.06;373,367;
2007.07;374,942;
2007.08;382,274;
2007.09;388,534;
2007.10;392,494;
2007.11;398,199;
2007.12;405,767;
2008.01;410,155;
2008.02;412,268;
2008.03;415,578;
2008.04;420,968;
2008.05;430,321;
2008.06;440,183;
2008.07;445,83;
2008.08;442,274;
2008.09;444,219;
2008.10;450,261;
2008.11;449,491;
2008.12;445,552;
2009.01;444,092;
2009.02;442,72;
2009.03;436,27;
2009.04;435,826;
2009.05;435,402;
2009.06;432,616;
2009.07;427,583;
2009.08;427,897;
2009.09;429,123;
2009.10;428,784;
2009.11;428,618;
2009.12;427,395;
2010.01;431,491;
2010.02;437,43;
2010.03;439,724;
2010.04;442,721;
2010.05;451,834;
2010.06;453,788;
2010.07;455,339;
2010.08;463,101;
2010.09;469,923;
2010.10;476,139;
2010.11;485,575;
2010.12;486,591;
2011.01;491,267;
2011.02;497,305;
2011.03;500,302;
2011.04;501,525;
2011.05;498,378;
2011.06;497,415;
2011.07;496,749;
2011.08;500,563;
2011.09;505,283;
2011.10;507,689;
2011.11;509,429;
2011.12;506,615;
2012.01;506,682;
2012.02;506,522;
2012.03;509,305;
2012.04;515,655;
2012.05;520,323;
2012.06;524,976;
2012.07;536,16;
2012.08;545,626;
2012.09;551,656;
2012.10;547,906;
2012.11;548,807;
2012.12;552,861;
2013.01;552,871;
2013.02;553,343;
2013.03;554,025;
2013.04;551,842;
2013.05;551,891;
2013.06;556,589;
2013.07;557,688;
2013.08;560,949;
2013.09;571,609;
2013.10;575,689;
2013.11;576,381;
2013.12;580,895;
2014.01;581,564;
2014.02;587,374;
2014.03;598,601;
2014.04;600,191;
2014.05;592,921;
2014.06;585,775;
2014.07;579,838;
2014.08;580,069;
2014.09;579,01;
2014.10;583,238;
2014.11;587,348;
2014.12;593,408;
2015.01;594,744;
2015.02;597,168;
2015.03;604,559;
2015.04;611,292;
